BINHO;1000 YATIRIMLAR HOLDİNG A.Ş.
LINK;LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.
LOGO;LOGO YAZILIM SANAYİ VE TİCARET A.Ş.
LKMNH;LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.
LRSHO;LORAS HOLDİNG A.Ş.
LUKSK;LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.
LYDHO;LYDİA HOLDİNG A.Ş.
LYDYE;LYDİA YEŞİL ENERJİ KAYNAKLARI A.Ş.
MACKO;MACKOLİK İNTERNET HİZMETLERİ TİCARET A.Ş.
MAKIM;MAKİM MAKİNA TEKNOLOJİLERİ SANAYİ VE TİCARET A.Ş.
MAKTK;MAKİNA TAKIM ENDÜSTRİSİ A.Ş.
MANAS;MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş.
MAGEN;MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş.
MARKA;MARKA YATIRIM HOLDİNG A.Ş.
MAALT;MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.
